user_id,signup_date,platform,acquisition_channel,is_internal
U000001,2025-12-22,android,referral,false
U000002,2025-12-02,android,organic,false
U000003,2025-11-08,ios,referral,false
U000004,2025-11-09,android,organic,false
U000005,2026-01-03,ios,paid_social,false
U000006,2025-09-16,android,referral,false
U000007,2026-01-09,ios,referral,false
U000008,2026-03-06,ios,paid_social,false
U000009,2026-05-09,ios,organic,false
U000010,2025-11-25,android,organic,false
U000011,2025-10-25,android,organic,false
U000012,2026-04-22,android,organic,false
U000013,2026-02-11,ios,referral,false
U000014,2026-01-16,android,organic,false
U000015,2025-10-21,android,organic,false
U000016,2025-09-10,android,organic,false
U000017,2026-01-08,ios,paid_social,false
U000018,2025-11-18,android,organic,false
U000019,2026-03-28,ios,organic,false
U000020,2025-11-05,android,press,false
U000021,2025-09-15,ios,paid_social,false
U000022,2026-03-22,ios,paid_social,false
U000023,2026-05-03,android,organic,false
U000024,2025-09-24,android,paid_social,false
U000025,2026-05-06,ios,paid_social,false
U000026,2025-12-06,android,paid_social,false
U000027,2026-01-03,android,organic,false
U000028,2025-09-02,android,organic,false
U000029,2026-04-30,ios,organic,false
U000030,2025-09-27,ios,organic,false
U000031,2025-11-01,android,paid_social,false
U000032,2025-09-30,android,paid_social,false
U000033,2025-10-18,ios,organic,false
U000034,2026-02-19,ios,organic,false
U000035,2025-12-28,ios,organic,false
U000036,2025-11-03,android,organic,false
U000037,2026-01-01,ios,paid_social,false
U000038,2025-10-27,ios,organic,false
U000039,2026-01-24,ios,organic,false
U000040,2025-11-02,android,paid_social,false
U000041,2026-01-24,android,organic,false
U000042,2025-09-14,android,referral,false
U000043,2026-04-17,ios,organic,false
U000044,2026-03-17,android,organic,false
U000045,2026-05-28,android,paid_social,false
U000046,2026-04-11,ios,organic,false
U000047,2026-03-20,android,organic,false
U000048,2026-03-04,android,organic,false
U000049,2026-02-10,android,organic,false
U000050,2025-11-01,ios,press,false
U000051,2025-11-08,ios,paid_social,false
U000052,2025-12-15,ios,referral,false
U000053,2026-05-12,android,organic,false
U000054,2026-05-24,android,paid_social,false
U000055,2026-03-31,ios,paid_social,false
U000056,2025-09-14,ios,organic,false
U000057,2026-01-05,ios,press,false
U000058,2025-11-30,android,organic,false
U000059,2026-03-30,android,paid_social,false
U000060,2025-11-08,ios,organic,false
U000061,2026-03-27,android,paid_social,false
U000062,2026-04-03,ios,organic,false
U000063,2025-12-15,android,organic,false
U000064,2025-12-11,android,referral,false
U000065,2025-09-19,android,organic,false
U000066,2025-11-19,ios,paid_social,false
U000067,2026-05-11,android,paid_social,false
U000068,2026-01-03,android,organic,false
U000069,2025-09-13,ios,paid_social,false
U000070,2026-01-17,android,paid_social,false
U000071,2025-11-27,ios,organic,false
U000072,2025-11-11,ios,press,false
U000073,2026-01-12,ios,organic,false
U000074,2025-12-05,ios,paid_social,false
U000075,2026-04-08,android,referral,false
U000076,2025-09-24,android,organic,false
U000077,2026-02-17,android,organic,false
U000078,2025-10-12,android,referral,false
U000079,2025-12-25,ios,paid_social,false
U000080,2026-03-03,ios,organic,false
U000081,2026-02-23,android,referral,false
U000082,2025-09-17,ios,organic,false
U000083,2026-01-10,ios,referral,false
U000084,2025-12-21,android,press,false
U000085,2025-09-14,ios,paid_social,false
U000086,2026-03-11,android,organic,false
U000087,2025-09-17,ios,paid_social,false
U000088,2026-04-22,android,referral,false
U000089,2026-01-31,ios,referral,false
U000090,2026-02-17,ios,paid_social,false
U000091,2026-04-16,ios,organic,false
U000092,2025-10-06,ios,organic,false
U000093,2026-01-28,ios,referral,false
U000094,2025-10-29,ios,paid_social,false
U000095,2025-09-30,android,organic,false
U000096,2025-09-28,android,referral,false
U000097,2026-04-08,android,paid_social,false
U000098,2026-01-02,ios,organic,false
U000099,2025-12-11,ios,organic,false
U000100,2026-03-24,android,referral,false
U000101,2026-03-14,ios,organic,false
U000102,2026-01-30,ios,organic,false
U000103,2025-09-29,ios,referral,false
U000104,2025-10-23,android,organic,false
U000105,2026-03-16,ios,paid_social,false
U000106,2026-02-22,ios,referral,false
U000107,2025-10-02,ios,referral,false
U000108,2026-04-20,ios,referral,false
U000109,2026-04-12,android,paid_social,false
U000110,2026-02-15,android,paid_social,false
U000111,2026-02-20,android,organic,false
U000112,2025-11-10,android,referral,false
U000113,2026-05-15,android,organic,false
U000114,2025-11-04,android,organic,false
U000115,2025-11-10,ios,paid_social,false
U000116,2025-09-07,android,organic,false
U000117,2025-12-31,android,organic,false
U000118,2026-05-10,ios,organic,false
U000119,2025-12-11,ios,paid_social,false
U000120,2026-03-23,android,organic,false
U000121,2026-03-15,android,paid_social,false
U000122,2025-12-22,android,referral,false
U000123,2025-10-15,ios,organic,false
U000124,2026-01-31,android,organic,false
U000125,2026-03-30,android,press,false
U000126,2026-03-02,android,press,false
U000127,2025-12-27,android,organic,false
U000128,2026-02-06,ios,organic,false
U000129,2025-11-07,ios,paid_social,false
U000130,2025-09-05,ios,organic,false
U000131,2025-10-27,android,organic,false
U000132,2026-05-19,android,paid_social,false
U000133,2026-04-03,ios,referral,false
U000134,2026-02-21,android,referral,false
U000135,2026-05-19,android,organic,false
U000136,2025-11-09,android,organic,false
U000137,2026-02-20,android,press,false
U000138,2025-11-04,android,press,false
U000139,2025-09-22,android,organic,false
U000140,2025-10-05,android,referral,false
U000141,2025-11-15,android,organic,false
U000142,2026-03-30,android,organic,false
U000143,2025-09-07,ios,organic,false
U000144,2026-03-13,android,organic,false
U000145,2026-01-02,android,referral,false
U000146,2025-12-02,android,paid_social,false
U000147,2026-02-14,android,referral,false
U000148,2025-09-14,android,referral,false
U000149,2025-09-19,ios,referral,false
U000150,2025-12-05,ios,organic,false
U000151,2026-03-28,android,organic,false
U000152,2025-09-10,ios,organic,false
U000153,2026-02-04,android,referral,false
U000154,2025-09-09,ios,organic,false
U000155,2025-12-26,android,organic,false
U000156,2026-02-01,ios,organic,false
U000157,2025-11-26,ios,organic,false
U000158,2026-04-28,android,press,false
U000159,2026-01-25,ios,organic,false
U000160,2026-01-06,android,paid_social,false
U000161,2025-09-22,ios,paid_social,false
U000162,2025-10-23,android,organic,false
U000163,2025-10-22,android,press,false
U000164,2026-03-11,android,organic,false
U000165,2026-03-24,android,paid_social,false
U000166,2026-05-21,ios,paid_social,false
U000167,2025-11-20,ios,press,false
U000168,2025-10-03,android,organic,false
U000169,2026-03-30,android,paid_social,false
U000170,2026-04-02,android,referral,false
U000171,2025-10-18,android,referral,false
U000172,2025-11-22,ios,referral,false
U000173,2026-03-14,ios,organic,false
U000174,2026-01-24,ios,referral,false
U000175,2026-03-17,android,organic,false
U000176,2026-05-27,ios,press,false
U000177,2025-12-22,ios,organic,false
U000178,2025-10-14,ios,press,false
U000179,2026-05-25,android,paid_social,false
U000180,2025-10-03,ios,organic,false
U000181,2025-12-01,android,press,false
U000182,2025-09-28,ios,organic,false
U000183,2025-10-24,android,paid_social,false
U000184,2026-02-06,android,organic,false
U000185,2026-01-07,android,paid_social,false
U000186,2025-12-26,ios,organic,false
U000187,2025-11-29,android,paid_social,false
U000188,2026-03-09,ios,paid_social,false
U000189,2026-05-24,ios,press,false
U000190,2025-09-13,android,organic,false
U000191,2025-11-14,ios,press,false
U000192,2026-02-26,android,press,false
U000193,2025-12-04,android,paid_social,false
U000194,2026-05-08,ios,press,false
U000195,2026-04-10,ios,paid_social,false
U000196,2025-09-04,ios,referral,false
U000197,2025-11-08,ios,referral,false
U000198,2026-03-30,ios,referral,false
U000199,2025-12-12,ios,referral,false
U000200,2026-04-01,ios,referral,false
U000201,2026-01-31,android,paid_social,false
U000202,2025-09-29,ios,paid_social,false
U000203,2026-01-20,ios,organic,false
U000204,2026-03-31,android,paid_social,false
U000205,2026-05-25,ios,referral,false
U000206,2026-03-28,android,paid_social,false
U000207,2026-01-20,android,organic,false
U000208,2026-05-02,android,organic,false
U000209,2026-02-20,android,paid_social,false
U000210,2026-04-17,ios,paid_social,false
U000211,2025-10-27,android,organic,false
U000212,2026-05-14,android,organic,false
U000213,2025-12-10,ios,organic,false
U000214,2026-05-10,ios,paid_social,false
U000215,2026-05-18,ios,organic,false
U000216,2025-10-28,android,referral,false
U000217,2026-01-11,android,organic,false
U000218,2025-11-19,ios,press,false
U000219,2026-05-04,android,referral,false
U000220,2026-04-14,ios,paid_social,false
U000221,2026-01-26,android,press,false
U000222,2026-02-11,android,organic,false
U000223,2026-02-24,android,organic,false
U000224,2025-10-04,ios,press,false
U000225,2026-05-06,android,organic,false
U000226,2025-09-13,android,organic,false
U000227,2026-03-01,ios,organic,false
U000228,2025-09-17,android,organic,false
U000229,2025-11-05,ios,paid_social,false
U000230,2025-11-15,ios,organic,false
U000231,2026-03-03,android,press,false
U000232,2025-12-10,android,organic,false
U000233,2026-02-20,ios,referral,false
U000234,2025-12-16,android,organic,false
U000235,2026-03-25,android,organic,false
U000236,2025-12-25,android,organic,false
U000237,2026-05-28,android,organic,false
U000238,2026-01-10,android,organic,false
U000239,2025-10-02,android,organic,false
U000240,2026-05-06,ios,referral,false
U000241,2026-02-27,ios,press,false
U000242,2025-10-29,android,organic,false
U000243,2025-11-05,android,organic,false
U000244,2025-11-30,android,organic,false
U000245,2026-03-14,android,organic,false
U000246,2025-11-24,android,organic,false
U000247,2026-03-30,ios,organic,false
U000248,2026-04-17,android,referral,false
U000249,2025-09-06,android,organic,false
U000250,2025-10-19,android,referral,false
U000251,2025-11-06,android,paid_social,false
U000252,2025-10-08,android,press,false
U000253,2025-12-23,ios,organic,false
U000254,2025-10-29,android,referral,false
U000255,2025-10-04,ios,organic,false
U000256,2025-10-02,android,organic,false
U000257,2025-10-08,ios,referral,false
U000258,2026-02-12,android,referral,false
U000259,2025-11-14,ios,referral,false
U000260,2025-12-06,android,organic,false
U000261,2025-10-06,android,press,false
U000262,2026-01-17,android,paid_social,false
U000263,2026-03-12,android,paid_social,false
U000264,2025-10-25,android,referral,false
U000265,2025-11-06,ios,organic,false
U000266,2025-11-01,ios,referral,false
U000267,2025-09-03,android,organic,false
U000268,2026-05-12,android,organic,false
U000269,2025-11-01,ios,paid_social,false
U000270,2025-10-13,ios,organic,false
U000271,2025-10-13,ios,press,false
U000272,2025-12-28,ios,referral,false
U000273,2026-02-28,android,paid_social,false
U000274,2026-01-11,android,organic,false
U000275,2025-09-02,android,organic,false
U000276,2025-11-09,ios,paid_social,false
U000277,2026-05-17,ios,organic,false
U000278,2026-04-20,android,referral,false
U000279,2025-10-03,ios,organic,false
U000280,2026-04-22,android,organic,false
U000281,2026-05-27,ios,organic,false
U000282,2026-05-01,android,organic,false
U000283,2025-11-02,ios,paid_social,false
U000284,2026-01-01,android,paid_social,false
U000285,2026-02-08,android,organic,false
U000286,2025-11-12,android,organic,false
U000287,2026-03-27,ios,organic,false
U000288,2026-02-18,ios,organic,false
U000289,2025-12-08,ios,organic,false
U000290,2025-10-21,android,paid_social,false
U000291,2025-10-05,ios,referral,false
U000292,2025-12-22,ios,organic,false
U000293,2026-05-27,android,organic,false
U000294,2026-01-05,ios,organic,false
U000295,2026-04-08,ios,organic,false
U000296,2025-11-06,android,referral,false
U000297,2026-01-11,android,paid_social,false
U000298,2025-12-13,android,referral,false
U000299,2026-05-09,ios,referral,false
U000300,2025-10-16,ios,organic,false
U000301,2026-02-12,android,organic,false
U000302,2025-10-28,ios,organic,false
U000303,2026-03-25,android,press,false
U000304,2026-04-18,android,organic,false
U000305,2026-01-12,android,organic,false
U000306,2025-09-21,ios,organic,false
U000307,2026-03-24,ios,organic,false
U000308,2026-02-23,ios,organic,false
U000309,2026-05-03,ios,paid_social,false
U000310,2026-04-10,ios,paid_social,false
U000311,2026-03-19,ios,paid_social,false
U000312,2026-04-20,ios,press,false
U000313,2025-10-09,android,paid_social,false
U000314,2026-02-03,android,organic,false
U000315,2025-12-01,android,organic,false
U000316,2026-01-18,android,referral,false
U000317,2026-02-13,ios,press,false
U000318,2026-04-23,android,organic,false
U000319,2025-12-21,ios,paid_social,false
U000320,2025-12-10,ios,referral,false
U000321,2025-11-04,ios,paid_social,false
U000322,2026-03-26,ios,paid_social,false
U000323,2026-02-04,android,paid_social,false
U000324,2026-05-27,ios,paid_social,false
U000325,2026-02-06,ios,referral,false
U000326,2026-04-26,android,paid_social,false
U000327,2026-05-27,android,paid_social,false
U000328,2026-02-12,android,paid_social,false
U000329,2026-03-01,ios,referral,false
U000330,2026-02-10,android,paid_social,false
U000331,2025-10-20,ios,paid_social,false
U000332,2025-10-01,android,organic,false
U000333,2025-11-10,ios,organic,false
U000334,2025-12-06,android,organic,false
U000335,2026-03-02,ios,organic,false
U000336,2026-01-31,ios,organic,false
U000337,2025-11-25,android,press,false
U000338,2026-01-15,android,paid_social,false
U000339,2026-04-23,ios,referral,false
U000340,2026-04-15,ios,organic,false
U000341,2026-02-27,android,organic,false
U000342,2025-10-01,ios,organic,false
U000343,2026-04-21,android,referral,false
U000344,2026-04-23,android,paid_social,false
U000345,2026-04-21,android,referral,false
U000346,2026-03-03,android,press,false
U000347,2025-11-18,ios,paid_social,false
U000348,2026-03-08,ios,organic,false
U000349,2026-01-14,android,organic,false
U000350,2026-05-19,android,paid_social,false
U000351,2026-02-06,android,organic,false
U000352,2025-11-15,android,organic,false
U000353,2026-03-08,android,organic,false
U000354,2025-12-27,ios,organic,false
U000355,2025-11-10,android,organic,false
U000356,2026-03-17,android,paid_social,false
U000357,2026-01-25,ios,referral,false
U000358,2026-05-27,android,referral,false
U000359,2026-02-16,android,paid_social,false
U000360,2025-10-16,android,paid_social,false
U000361,2025-09-12,android,organic,false
U000362,2025-09-01,ios,paid_social,false
U000363,2026-01-11,android,paid_social,false
U000364,2025-09-30,ios,organic,false
U000365,2026-01-08,ios,paid_social,false
U000366,2025-12-07,android,organic,false
U000367,2026-02-10,android,press,false
U000368,2026-03-19,ios,organic,false
U000369,2026-04-21,ios,paid_social,false
U000370,2026-05-18,android,organic,false
U000371,2026-03-28,ios,referral,false
U000372,2026-02-06,android,referral,false
U000373,2025-09-24,ios,press,false
U000374,2026-01-05,android,organic,false
U000375,2026-04-25,android,paid_social,false
U000376,2026-01-02,ios,paid_social,false
U000377,2026-04-20,ios,organic,false
U000378,2026-02-26,ios,paid_social,false
U000379,2026-01-16,ios,organic,false
U000380,2026-03-24,android,paid_social,false
U000381,2025-12-22,android,paid_social,false
U000382,2026-01-01,ios,referral,false
U000383,2026-01-14,ios,referral,false
U000384,2025-09-05,ios,paid_social,false
U000385,2026-03-03,android,paid_social,false
U000386,2026-02-21,android,organic,false
U000387,2026-04-05,android,organic,false
U000388,2026-04-29,android,paid_social,false
U000389,2026-01-26,android,paid_social,false
U000390,2026-03-17,android,press,false
U000391,2025-11-30,ios,organic,false
U000392,2025-11-04,ios,organic,false
U000393,2026-05-21,ios,organic,false
U000394,2026-02-09,ios,referral,false
U000395,2025-10-08,android,referral,false
U000396,2026-05-11,android,organic,false
U000397,2026-05-01,android,organic,false
U000398,2026-01-04,ios,paid_social,false
U000399,2026-04-11,ios,organic,false
U000400,2025-11-24,ios,organic,false
U000401,2026-04-03,android,organic,false
U000402,2026-05-07,android,organic,false
U000403,2026-01-07,ios,organic,false
U000404,2026-02-15,android,organic,false
U000405,2026-02-01,android,paid_social,false
U000406,2025-09-27,ios,paid_social,false
U000407,2025-09-09,android,referral,false
U000408,2025-10-03,android,referral,false
U000409,2025-10-22,android,press,false
U000410,2026-03-21,android,paid_social,false
U000411,2025-12-31,android,organic,false
U000412,2026-03-12,ios,paid_social,false
U000413,2025-12-05,android,organic,false
U000414,2026-03-14,android,organic,false
U000415,2026-05-15,android,press,false
U000416,2026-02-17,android,organic,false
U000417,2025-11-27,ios,paid_social,false
U000418,2025-09-17,android,paid_social,false
U000419,2025-11-06,android,organic,false
U000420,2026-05-16,android,organic,false
U000421,2025-10-12,android,referral,false
U000422,2026-02-23,ios,organic,false
U000423,2026-02-21,android,organic,false
U000424,2025-09-17,android,organic,false
U000425,2025-09-12,ios,organic,false
U000426,2025-11-26,android,organic,false
U000427,2026-04-18,android,referral,false
U000428,2026-02-14,android,paid_social,false
U000429,2025-10-01,android,organic,false
U000430,2026-05-15,android,organic,false
U000431,2025-11-08,android,paid_social,false
U000432,2025-11-19,android,organic,false
U000433,2026-05-20,ios,organic,false
U000434,2026-04-25,android,organic,false
U000435,2026-03-17,android,referral,false
U000436,2025-11-21,android,paid_social,false
U000437,2025-09-08,ios,press,false
U000438,2025-09-09,android,organic,false
U000439,2026-01-30,android,paid_social,false
U000440,2025-10-26,ios,paid_social,false
U000441,2025-11-09,android,organic,false
U000442,2025-10-16,android,organic,false
U000443,2026-01-07,ios,organic,false
U000444,2025-11-24,android,organic,false
U000445,2025-10-27,android,organic,false
U000446,2026-04-17,ios,referral,false
U000447,2025-09-28,android,organic,false
U000448,2026-04-19,android,organic,false
U000449,2025-10-22,android,paid_social,false
U000450,2026-05-24,ios,paid_social,false
U000451,2025-11-06,ios,organic,false
U000452,2026-02-11,android,organic,false
U000453,2025-11-14,android,press,false
U000454,2025-11-21,android,paid_social,false
U000455,2026-03-20,android,organic,false
U000456,2026-02-06,ios,paid_social,false
U000457,2025-10-31,ios,press,false
U000458,2025-09-28,android,paid_social,false
U000459,2025-10-12,android,organic,false
U000460,2026-04-27,ios,organic,false
U000461,2025-12-01,ios,paid_social,false
U000462,2025-10-24,android,paid_social,false
U000463,2026-03-17,android,paid_social,false
U000464,2025-09-06,android,organic,false
U000465,2025-12-20,android,referral,false
U000466,2026-04-08,ios,organic,false
U000467,2026-05-02,android,organic,false
U000468,2026-03-31,ios,organic,false
U000469,2025-09-26,android,referral,false
U000470,2026-04-01,ios,organic,false
U000471,2025-12-10,android,organic,false
U000472,2026-05-13,ios,organic,false
U000473,2025-12-14,ios,organic,false
U000474,2026-04-19,ios,paid_social,false
U000475,2026-02-25,ios,paid_social,false
U000476,2026-02-16,ios,referral,false
U000477,2025-10-22,android,organic,false
U000478,2025-11-09,ios,paid_social,false
U000479,2025-09-23,ios,organic,false
U000480,2026-02-23,ios,press,false
U000481,2026-01-27,ios,referral,false
U000482,2025-09-08,ios,organic,false
U000483,2026-05-12,ios,press,false
U000484,2025-09-19,android,paid_social,false
U000485,2026-05-24,ios,organic,false
U000486,2026-05-09,android,organic,false
U000487,2026-05-07,ios,paid_social,false
U000488,2026-05-17,ios,paid_social,false
U000489,2025-11-04,android,referral,false
U000490,2025-11-30,android,organic,false
U000491,2026-02-28,ios,paid_social,false
U000492,2025-09-22,android,organic,false
U000493,2025-09-27,ios,organic,false
U000494,2025-11-10,ios,paid_social,false
U000495,2026-05-13,ios,paid_social,false
U000496,2025-12-24,ios,organic,false
U000497,2026-01-29,ios,referral,false
U000498,2026-02-27,android,organic,false
U000499,2026-03-29,android,referral,false
U000500,2025-11-20,android,organic,false
U000501,2026-01-01,android,referral,false
U000502,2025-10-13,android,paid_social,false
U000503,2026-04-18,ios,organic,false
U000504,2025-10-24,android,press,false
U000505,2025-10-06,ios,paid_social,false
U000506,2026-02-19,android,paid_social,false
U000507,2025-11-23,ios,organic,false
U000508,2026-01-22,ios,organic,false
U000509,2026-04-04,android,paid_social,false
U000510,2025-09-01,ios,paid_social,false
U000511,2026-03-17,android,organic,false
U000512,2026-04-16,android,organic,false
U000513,2026-01-23,ios,organic,false
U000514,2026-05-21,android,referral,false
